"index_no","property_address","bedrooms","bathrooms","agent_name","area_code","telephone","price","media_description","media_category_id","media_category_url","media_video_type","mls_number","property_type","building_stories","interior_size","exterior_size","agent_id","corporation_name","agent_position","org_name","org_address","org_id","org_type","org_ph_no","org_designation","prop_zone_type","prop_parking","prop_parking_space","prop_type","province_name","latitude","longitude","postcode"
170,"#7 3850 Argyle Avenue,|Vernon, British Columbia V1T8K9",2,3,"Glen Stephanishin",250,3088370,379900,"VideoTourWebsite",2,"https://youriguide.com/7_3850_argyle_ave_vernon_bc/","iGuide","10277435","Row / Townhouse",NULL,"1650 sqft",NULL,1390175,NULL,"Personal Real Estate Corporation","Value Plus 3% Real Estate Inc.","#102 - 4313 - 27th Street|Vernon, British Columbia V1T4Y5",270566,"Firm",3081888,NULL,NULL,NULL,NULL,"Single Family","British Columbia","50.25748","-119.286178","V1T8K9"
160,"#6 1940 K.L.O. Road,|Kelowna, British Columbia V1W5N8",3,3,"Chad Bennett",778,3637653,1095000,"VideoTourWebsite",2,"https://tours.kelownaprimerealestate.com/e/HDkbXhx","Other","10277444","Row / Townhouse",2,"2490 sqft",NULL,2021309,NULL,"Personal Real Estate Corporation","eXp Realty (Kelowna)","1631 Dickson Ave, Suite 1100|Kelowna, British Columbia V1Y0B5",284212,"Firm",8176506,NULL,NULL,"Attached Garage (2)",4,"Single Family","British Columbia","49.86188","-119.453405","V1W5N8"
171,"#604 1395 Ellis Street,|Kelowna, British Columbia V1Y1Z9",3,3,"Bree Balaski",204,8985060,1049000,"VideoTourWebsite",2,"https://unbranded.youriguide.com/604_1395_ellis_st_kelowna_bc/","iGuide","10277474","Apartment",1,"1565 sqft",NULL,2101949,NULL,NULL,"Royal LePage Kelowna","#1 - 1890 Cooper Road|Kelowna, British Columbia V1Y8B7",47833,"Firm",8601100,NULL,NULL,"Parkade, Underground",1,"Single Family","British Columbia","49.88919","-119.493284","V1Y1Z9"
6,"4020 Terrapin Place,|Vernon, British Columbia V1T9W4",4,3,"Darren Kroeker",250,9383228,1099000,"VideoTourWebsite",2,"https://app.immoviewer.com/portal/tour/2849318?email=darren@darrenkroeker.com","Immoviewer","10277490","House",1,"3285 sqft",NULL,1984404,NULL,"Personal Real Estate Corporation","Royal LePage Downtown Realty","4007 - 32nd Street|Vernon, British Columbia V1T5P2",47795,"Firm",5455371,NULL,NULL,"Attached Garage (2)",4,"Single Family","British Columbia","50.271719","-119.291658","V1T9W4"
91,"1740 Rue St-Patrick|#1001|Montréal (Le Sud-Ouest), Quebec H3K0B3",2,1,"Martin Lemay",514,7434702,473999,"AlternateFeatureSheetWebsite",1,"https://passerelle.centris.ca/redirect.aspx?CodeDest=SUTTON&NoMLS=10685552&Lang=E",NULL,"10685552","Apartment",12,"712.57 sqft",NULL,2068208,"Martin Lemay Courtier Immobilier inc.","Residential and Commercial Real Estate Broker","GROUPE SUTTON IMMOBILIA INC.","100 - 1280 av. Bernard |Outremont, Quebec H2V1V9",54301,"Firm",2721010,"Real Estate Agency","Residential",NULL,NULL,"Single Family","Quebec","45.484529","-73.562782","H3K0B3"
90,"285 Rue Terrill|Sherbrooke (Fleurimont), Quebec J1E1L3",6,3,"Caroline Grondin",450,5213045,389000,"AlternateFeatureSheetWebsite",1,"https://passerelle.centris.ca/redirect.aspx?CodeDest=REMAX&NoMLS=10989085&Lang=E",NULL,"10989085","House",2,NULL,NULL,1523215,"Caroline Grondin Inc.","Residential and Commercial Real Estate Broker","RE/MAX PROFESSIONNEL INC.","1050 Principale |Granby, Quebec J2J2N7",53717,"Firm",3784120,"Real Estate Agency","Residential","Detached Garage, Garage",2,"Single Family","Quebec","45.412293","-71.887003","J1E1L3"
89,"5715 Rue Jean-Talon E.|#407|Montréal (Saint-Léonard), Quebec H1S0C7",2,2,"Samantha Pazvash",514,3333000,549000,"AlternateFeatureSheetWebsite",1,"https://passerelle.centris.ca/redirect.aspx?CodeDest=REMAX&NoMLS=11152389&Lang=E",NULL,"11152389","Apartment",NULL,"1103 sqft",NULL,1499110,NULL,"Residential and Commercial Real Estate Broker","RE/MAX 3000 INC.","9280 boul de l'Acadie |Montréal, Quebec H4N3C5",53980,"Firm",3333000,"Real Estate Agency","Residential","Garage",1,"Single Family","Quebec","45.583969","-73.58119","H1S0C7"
88,"8330 Rue Duberger|Montréal (Rivière-des-Prairies/Pointe-aux-Trembles), Quebec H1E6E7",4,2,"Vyshmi Nagendran",514,6253080,699000,"AlternateFeatureSheetWebsite",1,"https://passerelle.centris.ca/redirect.aspx?CodeDest=ID3&NoMLS=11332814&Lang=E",NULL,"11332814","House",1,NULL,"1622.1400",2133250,NULL,"Residential Real Estate Broker","LES IMMEUBLES CHARISMA INC.","340 - 3310 100e Avenue |Laval, Quebec H7T0J7",259699,"Firm",3603000,"Real Estate Agency","Residential","Garage, Other",3,"Single Family","Quebec","45.638872","-73.588539","H1E6E7"
87,"5940 Av. Grenier|Longueuil (Saint-Hubert), Quebec J3Y6A1",4,2,"Réal L'Homme",514,9944383,412500,"AlternateFeatureSheetWebsite",1,"https://passerelle.centris.ca/redirect.aspx?CodeDest=REMAX&NoMLS=11738208&Lang=E",NULL,"11738208","House",1,NULL,NULL,1440084,NULL,"Certified Residential and Commercial Real Estate Broker AEO","RE/MAX ÉVOLUTION INC.","302 - 1055 boul. du Séminaire N. |Saint-Jean-sur-Richelieu, Quebec J3A1R7",282730,"Firm",3495868,"Real Estate Agency","Residential","Other",2,"Single Family","Quebec","45.4804239","-73.42434005","J3Y6A1"
86,"7 Rue Latour|Châteauguay, Quebec J6J1B3",3,2,"Gabrielle D'Anjou",514,6028940,324000,"AlternateFeatureSheetWebsite",1,"https://passerelle.centris.ca/redirect.aspx?CodeDest=REMAX&NoMLS=11790351&Lang=E",NULL,"11790351","House",2,NULL,NULL,1877335,"Gabrielle d'Anjou Inc.","Residential and Commercial Real Estate Broker","RE/MAX FUTUR INC.","243 boul. d'Anjou |Châteauguay, Quebec J6J2R3",54170,"Firm",6921090,"Real Estate Agency","Residential","Other",2,"Single Family","Quebec","45.38488266","-73.74709567","J6J1B3"
83,"3275 Av. Laurin|Québec (Les Rivières), Quebec G1P1T6",3,1,"Olivier Beaudoin",418,5696079,229900,"AlternateFeatureSheetWebsite",1,"https://passerelle.centris.ca/redirect.aspx?CodeDest=REMAX&NoMLS=12054807&Lang=E",NULL,"12054807","Apartment",2,"1250.77 sqft",NULL,1933386,"Olivier Beaudoin Courtier Immobilier Inc.","Residential Real Estate Broker","RE/MAX CAPITALE","7385 boul. Henri-Bourassa |Québec, Quebec G1H3E5",55955,"Firm",6273120,"Real Estate Agency","Residential","Other",1,"Single Family","Quebec","46.810908","-71.327189","G1P1T6"
80,"1315 Av. Dupuis|Mascouche, Quebec J7K2T4",4,1,"Marcel Gagnier",514,4973400,444900,"AlternateFeatureSheetWebsite",1,"https://passerelle.centris.ca/redirect.aspx?CodeDest=REMAX&NoMLS=12064430&Lang=E",NULL,"12064430","House",1,NULL,NULL,1442045,NULL,"Residential and Commercial Real Estate Broker","RE/MAX D'ICI","980 boul. des Seigneurs |Terrebonne, Quebec J6W1V1",280814,"Firm",4715503,"Real Estate Agency","Residential","Garage",2,"Single Family","Quebec","45.75358448","-73.59513776","J7K2T4"
293,"26 Main Road|Pouch Cove, Newfoundland & Labrador A0A3L0",4,2,"GENNA HICKEY",709,7653187,279900,NULL,NULL,NULL,NULL,"1259121","House",1,"2408 sqft",NULL,2000758,NULL,NULL,"3% Realty East Coast","460 Torbay Road|St. John's, Newfoundland & Labrador A1A5J3",274842,"Firm",7821302,"Brokerage",NULL,NULL,NULL,"Single Family","Newfoundland & Labrador","47.730156","-52.733639","A0A3L0"
206,"10 Fourth Avenue|Pasadena, Newfoundland & Labrador A0L1K0",6,2,"ELAINE BISHOP",709,6393737,339888,NULL,NULL,NULL,NULL,"1259847","Two Apartment House",NULL,"2632 sqft",NULL,1630512,NULL,NULL,"RE/MAX Realty Professionals Ltd. - Corner Brook","47 Park St.|Corner Brook, Newfoundland & Labrador A2H2X1",104724,"Firm",6349400,"Brokerage",NULL,NULL,NULL,"Single Family","Newfoundland & Labrador","49.010979","-57.602493","A0L1K0"
440,"3 Lilac Crescent|St. John’s, Newfoundland & Labrador A1H0M4",3,3,"Courtney Moulton",709,6918314,429000,NULL,NULL,NULL,NULL,"1259849","House",2,"2178 sqft",NULL,2026843,NULL,NULL,"RE/MAX Infinity Realty Inc.","434 Conception Bay Hwy|Conception Bay South, Newfoundland & Labrador A1X2B7",275242,"Firm",8342066,"Brokerage",NULL,NULL,NULL,"Single Family","Newfoundland & Labrador","47.498157","-52.813306","A1H0M4"
294,"3 Dawes Crescent|Clarkes Beach, Newfoundland & Labrador A0A1W0",3,2,"FRANK EVELY",709,6835255,269900,NULL,NULL,NULL,NULL,"1259856","House",1,"2376 sqft",NULL,1571993,NULL,NULL,"RE/MAX Eastern Edge Realty Ltd. - Bay Roberts","PO. BOX 1084 Main Road|Bay Roberts, Newfoundland & Labrador A0A1G0",274628,"Firm",7862310,"Brokerage",NULL,"Detached Garage, Garage (1)",NULL,"Single Family","Newfoundland & Labrador","47.544028","-53.287311","A0A1W0"
441,"119 - 121 Steve Neary Boulevard|Bell Island, Newfoundland & Labrador A0A4H0",NULL,NULL,"DWAYNE YOUNG",709,7492261,15000,NULL,NULL,NULL,NULL,"1259881",NULL,NULL,NULL,NULL,1686807,NULL,NULL,"HomeLife Experts Realty Inc.","874 Topsail Rd.|Mount Pearl, Newfoundland & Labrador A1N3J9",109547,"Firm",7478848,"Brokerage",NULL,NULL,NULL,"Vacant Land","Newfoundland & Labrador","47.631264","-52.936897","A0A4H0"
66,"3249 2e Avenue|Rawdon, Quebec J0K2S0",2,1,"Nina Champoux",514,6905964,174900,"AlternateFeatureSheetWebsite",1,"https://passerelle.centris.ca/redirect.aspx?CodeDest=PROPRIO&NoMLS=12762682&Lang=E",NULL,"12762682","House",1,NULL,NULL,1963533,NULL,"Residential Real Estate Broker","PROPRIO DIRECT","200 - 3899 aut. des Laurentides |Laval, Quebec H7L3H7",54123,"Firm",8564444,"Real Estate Agency","Residential","Other",2,"Single Family","Quebec","46.039936","-73.702087","J0K2S0"
330,"13 Rue Conroy|Gatineau (Aylmer), Quebec J9H5L4",3,1,"Alex Gagnon",819,6655097,299900,"AlternateFeatureSheetWebsite",1,"https://passerelle.centris.ca/redirect.aspx?CodeDest=REMAX&NoMLS=12851905&Lang=E",NULL,"12851905","House",2,"1465.5 sqft",NULL,2082520,NULL,"Residential Real Estate Broker","RE/MAX DIRECT INC. - Gatineau","10 - 2310 rue St-Louis |Gatineau, Quebec J8T5L7",275638,"Firm",7702100,"Real Estate Agency","Residential","Garage, Other",3,"Single Family","Quebec","45.401224","-75.850587","J9H5L4"
65,"49 Rue des Alpes|Sainte-Brigitte-de-Laval, Quebec G0A3K0",5,2,"Annie Nguyen",418,9302077,379900,"AlternateFeatureSheetWebsite",1,"https://passerelle.centris.ca/redirect.aspx?CodeDest=SUTTON&NoMLS=13002708&Lang=E",NULL,"13002708","House",2,NULL,NULL,2019995,NULL,"Residential Real Estate Broker","GROUPE SUTTON-NOUVELLE DEMEURE","115-825 boul. Lebourgneuf |Québec, Quebec G2J0B9",283090,"Firm",6271212,"Real Estate Agency","Residential","Other",2,"Single Family","Quebec","47.00503336","-71.18752467","G0A3K0"
475,"226 Rue Lauzanne|Val-d'Or, Quebec J9P0L8",3,1,"Bénédicte Landry",819,3540470,275000,"AlternateFeatureSheetWebsite",1,"https://passerelle.centris.ca/redirect.aspx?CodeDest=PROPRIO&NoMLS=13150270&Lang=E",NULL,"13150270","Mobile Home",NULL,"1136.99 sqft","1136.99 sqft",1975495,"Bénédicte Landry inc.","Residential Real Estate Broker","PROPRIO DIRECT - Val-d'Or (DB)","3899 autoroute des laurentides |laval, Quebec H7L3H7",273650,"Firm",8252266,"Real Estate Agency","Residential","Other",3,"Single Family","Quebec","48.12429179","-77.83131158","J9P0L8"
64,"287 Rue Lauzé|Charlemagne, Quebec J5Z2A7",4,2,"Félix Laforest",514,9756964,459900,"AlternateFeatureSheetWebsite",1,"https://passerelle.centris.ca/redirect.aspx?CodeDest=MACLE&NoMLS=13244978&Lang=E",NULL,"13244978","House",2,"1728.68 sqft",NULL,1952977,"Félix Laforest Inc.","Residential and Commercial Real Estate Broker","RE/MAX CITÉ","13150 rue Sherbrooke Est |Montréal, Quebec H1A4B1",54220,"Firm",6440000,"Real Estate Agency","Residential","Other",3,"Single Family","Quebec","45.73217518","-73.48953037","J5Z2A7"
63,"320 Rue Bob|Sainte-Mélanie, Quebec J0K3A0",2,1,"Sylvie Isabelle",450,7593008,119000,"AlternateFeatureSheetWebsite",1,"https://passerelle.centris.ca/redirect.aspx?CodeDest=REMAX&NoMLS=13393157&Lang=E",NULL,"13393157","House",1,NULL,NULL,2178159,NULL,"Residential Real Estate Broker","RE/MAX PRESTIGE","10 Rue Wilfrid Ranger |Saint-Charles Borromée, Quebec J6E8M7",286256,"Firm",7593008,"Real Estate Agency","Mixed","Detached Garage, Other, Garage",5,"Single Family","Quebec","46.14058","-73.58138","J0K3A0"
437,"1081 AMBLESIDE DRIVE UNIT#1008|Ottawa, Ontario K2B8C8",2,1,"Matt Richling",613,2869501,365000,"VideoTourWebsite",2,"https://bit.ly/3Nivf7g","Other","1342809","Apartment",1,NULL,NULL,1677966,NULL,"Salesperson","RE/MAX HALLMARK REALTY GROUP","344 O'CONNOR STREET|OTTAWA, Ontario K2P1W1",278365,"Firm",5631155,NULL,NULL,"Underground, Visitor Parking",1,"Single Family","Ontario","45.373609","-75.781158","K2B8C8"
96,"2189 DESCHENES STREET|Ottawa, Ontario K2B6N2",3,4,"Charles Sezlik",613,7446697,1295000,"AdditionalPicturesWebsite",5,"http://sezlik.com/1343704",NULL,"1343704","House",2,NULL,NULL,1404338,NULL,"Salesperson","ROYAL LEPAGE TEAM REALTY","40 LANDRY STREET, SUITE 114|OTTAWA, Ontario K1L8K4",274006,"Firm",7446697,NULL,NULL,"Attached Garage, Inside Entry, Surfaced",2,"Single Family","Ontario","45.378729","-75.776384","K2B6N2"
97,"2167 FILLMORE CRESCENT|Ottawa, Ontario K1J6A1",5,2,"Diana Sneddon",613,6978946,749900,"AlternateFeatureSheetWebsite",1,"https://www.dropbox.com/s/5yhz5euas2eam86/2167 Fillmore - Feature Sheet.pdf?dl=0",NULL,"1345007","House",1,NULL,NULL,1728736,NULL,"Salesperson","ROYAL LEPAGE TEAM REALTY","384 RICHMOND ROAD|OTTAWA, Ontario K2A0E8",269011,"Firm",7299090,NULL,NULL,"Attached Garage",3,"Single Family","Ontario","45.463661","-75.59697","K1J6A1"
98,"570 DE MAZENOD AVENUE UNIT#103|Ottawa, Ontario K1S5X2",2,2,"Jennifer E. Stewart",613,4228688,849900,"VideoTourWebsite",2,"https://youtu.be/GOYI6uBK-K4","Youtube","1346527","Apartment",1,NULL,NULL,1499067,NULL,"Broker","ENGEL & VOLKERS OTTAWA CENTRAL","787 BANK ST UNIT 2ND FLOOR|OTTAWA, Ontario K1S3V5",291376,"Firm",4228688,NULL,NULL,"Underground",1,"Single Family","Ontario","45.408317","-75.674718","K1S5X2"
442,"26 HALLECKS ROAD W|Mallorytown, Ontario K6V5T3",3,2,"SANDRA  L. FOX",613,4987180,450000,NULL,NULL,NULL,NULL,"1347358","House",NULL,NULL,NULL,1458127,NULL,"Broker","ROYAL LEPAGE PROALLIANCE REALTY","2A-2495 PARKEDALE AVENUE|BROCKVILLE, Ontario K6V3H2",259747,"Firm",3453664,NULL,NULL,"Carport",10,"Single Family","Ontario","44.530933","-75.798482","K6V5T3"
99,"120 SOPHIE LANE|Merrickville, Ontario K0G1N0",3,3,"Johnny Hunt",613,8537653,599750,"VideoTourWebsite",2,"https://realestate.yellitmedia.com/estate/johnny-hunt-presents-120-sophie-lane","Other","1347741","House",1,NULL,NULL,1594252,NULL,"Broker","EXP REALTY","343 PRESTON STREET, 11TH FLOOR|OTTAWA, Ontario K1S1N4",280312,"Firm",5307737,NULL,NULL,"Attached Garage, Inside Entry, Surfaced",6,"Single Family","Ontario","44.90815","-75.835768","K0G1N0"
100,"75 CLEARY AVENUE UNIT#1601|Ottawa, Ontario K2A1R8",2,2,"Lee (Kenneth) Hazell",613,3271500,924900,"VideoTourWebsite",2,"https://insideout-media.aryeo.com/videos/1c8c65ef-ad78-4fb3-9c09-47bbad221fbc","Other","1347855","Apartment",1,NULL,NULL,1532821,NULL,"Salesperson","ENGEL & VOLKERS OTTAWA CENTRAL","292 SOMERSET STREET WEST|OTTAWA, Ontario K2P0J6",278405,"Firm",4228688,NULL,NULL,"Underground",2,"Single Family","Ontario","45.382123","-75.770568","K2A1R8"
101,"736 DEARBORN PRIVATE|Ottawa, Ontario K1T0W3",3,4,"Sam Moussa",613,7151482,699000,"VideoTourWebsite",2,"https://listings.insideottawamedia.ca/sites/736-dearborn-pvt-ottawa-on-k1t-1n8-5113241/branded","Other","1347863","Row / Townhouse",2,NULL,NULL,1922859,NULL,"Broker of Record","RE/MAX ABSOLUTE SAM MOUSSA REALTY","31 NORTHSIDE ROAD, UNIT 102B|OTTAWA, Ontario K2H8S1",278986,"Firm",7215551,NULL,NULL,"Attached Garage, Inside Entry, Surfaced",2,"Single Family","Ontario","45.34261","-75.624852","K1T0W3"
102,"718 HANCOCK CRESCENT|Orleans, Ontario K4A3M9",3,2,"Sylvie Hariski",613,8787163,499900,NULL,NULL,NULL,NULL,"1347882","Row / Townhouse",2,NULL,NULL,1403461,NULL,"Broker","SUTTON GROUP - OTTAWA REALTY","1991 ST. JOSEPH BLVD.|OTTAWA, Ontario K1C1E5",273457,"Firm",7445000,NULL,NULL,"Attached Garage",2,"Single Family","Ontario","45.480112","-75.485026","K4A3M9"
62,"4974 Rue Lionel-Groulx|#405|Saint-Augustin-de-Desmaures, Quebec G3A0M3",2,1,"Annie Léveillé",418,9481000,349000,"AlternateFeatureSheetWebsite",1,"https://passerelle.centris.ca/redirect.aspx?CodeDest=REMAX&NoMLS=13479387&Lang=E",NULL,"13479387","Apartment",8,"1272.29 sqft",NULL,1529113,NULL,"Certified Residential and Commercial Real Estate Broker","RE/MAX ACCÈS  INC.","1538 Avenue Jules-Verne |Québec, Quebec G2G2R5",55853,"Firm",9481000,"Real Estate Agency",NULL,"Garage",1,"Single Family","Quebec","46.74348554","-71.38930429","G3A0M3"
103,"54 STEDMAN STREET|Ottawa, Ontario K1T4G7",3,3,"Yasmin Fues",613,9790241,635000,"VideoTourWebsite",2,"https://unbranded.youriguide.com/54_stedman_st_ottawa_on/","iGuide","1347971","House",2,NULL,NULL,1937846,NULL,"Salesperson","ROYAL LEPAGE TEAM REALTY","5536 MANOTICK MAIN ST|Manotick, Ontario K4M1A7",49869,"Firm",6923567,NULL,NULL,"Attached Garage, Inside Entry",2,"Single Family","Ontario","45.342163","-75.63551","K1T4G7"
443,"112 PENNANT AVENUE|Ottawa, Ontario K2J5W6",2,2,"Greg Hamre",613,2777712,499900,"VideoTourWebsite",2,"https://youtu.be/OvlFyd-GBe4","Youtube","1347998","Row / Townhouse",3,NULL,NULL,1403447,NULL,"Salesperson","RE/MAX AFFILIATES REALTY LTD.","1180 PLACE D'ORLEANS DR UNIT 3|OTTAWA, Ontario K1C7K3",278400,"Firm",8370000,NULL,NULL,"Attached Garage, Inside Entry",2,"Single Family","Ontario","45.246353","-75.734923","K2J5W6"
104,"2354 CONCESSION ROAD 6D ROAD|Lanark, Ontario K0G1K0",3,1,"Marnie Bennett",613,2338606,449500,NULL,NULL,NULL,NULL,"1348107","House",1,NULL,NULL,1726806,NULL,"Broker of Record","BENNETT PROPERTY SHOP REALTY","1194 CARP RD|Ottawa, Ontario K2S1B9",268976,"Firm",2338606,NULL,NULL,"Detached Garage",10,"Single Family","Ontario","45.115287","-76.418396","K0G1K0"
105,"48 HAMIL STREET|Vankleek Hill, Ontario K0B1R0",2,3,"Louise Sproule",613,6788263,289000,NULL,NULL,NULL,NULL,"1348151","House",NULL,NULL,NULL,2133960,NULL,"Salesperson","RE/MAX DELTA REALTY","1 MAIN STREET, UNIT 110|HAWKESBURY, Ontario K6A1A1",286594,"Firm",7657653,NULL,NULL,"Gravel",2,"Single Family","Ontario","45.518338","-74.651088","K0B1R0"
106,"956 CALDERMILL PRIVATE|Ottawa, Ontario K2J0Z8",3,3,"Rachel Langlois",855,4089468,639000,NULL,NULL,NULL,NULL,"1348158","Row / Townhouse",2,NULL,NULL,1883280,NULL,"Broker","UNREALTY BROKERAGE","2934 BASELINE RD UNIT 402|OTTAWA, Ontario K2H1B2",292629,"Firm",4089468,NULL,NULL,"Attached Garage, Surfaced",3,"Single Family","Ontario","45.255101","-75.73265","K2J0Z8"
450,"348 GLOAMING CRESCENT|Ottawa, Ontario K2V0C7",4,3,"Christine Hauschild",613,7995570,939900,"AlternateFeatureSheetWebsite",1,"https://hauschildgroup.com/wp-content/uploads/2023/05/348-Gloaming-Feature-Sheet-1-1.pdf",NULL,"1348188","House",2,NULL,NULL,1403477,NULL,"Salesperson","ROYAL LEPAGE TEAM REALTY HAUSCHILD GROUP","2188B ROBERTSON ROAD|OTTAWA, Ontario K2H5Z1",283704,"Firm",5926400,NULL,NULL,"Attached Garage, Inside Entry, Surfaced",4,"Single Family","Ontario","45.275278","-75.883937","K2V0C7"
487,"111 COCKBURN CRESCENT|Pembroke, Ontario K8A8K6",4,3,"Sheila Flowers",613,4013805,479900,NULL,NULL,NULL,NULL,"1348202","House",1,NULL,NULL,1474944,NULL,"Salesperson","RE/MAX PEMBROKE REALTY LTD.","10A CANADIAN FORCES DRIVE|PETAWAWA, Ontario K8H0H4",49904,"Firm",6872020,NULL,NULL,"Attached Garage",4,"Single Family","Ontario","45.818153","-77.086612","K8A8K6"
451,"1015 MONTROSE STREET|Brockville, Ontario K6V7G1",4,3,"Sharon Jordan",613,2130632,649900,"VideoTourWebsite",2,"https://my.matterport.com/show/?m=RJXjuKkw7qo","Matterport","1348203","House",1,NULL,NULL,1486445,NULL,"Broker","RE/MAX HALLMARK REALTY GROUP","700 EAGLESON ROAD, SUITE 105|OTTAWA, Ontario K2M2G9",283783,"Firm",6632720,NULL,NULL,"Attached Garage, Interlocked",4,"Single Family","Ontario","44.61947","-75.704534","K6V7G1"
